Atom,pct
A,0.0595474942275
C,0.0197426700164
E,0.0654797345377
D,0.0531142446377
G,0.0618492325119
F,0.0429343169573
I,0.0508342893655
H,0.0222259334021
K,0.062989210148
M,0.0249125049012
L,0.090130843293
N,0.0429270559533
Q,0.0329722193985
P,0.0503114970738
S,0.089571745981
R,0.0542905272941
U,0.0
T,0.0495926576727
W,0.0128810211876
V,0.0661840519307
Y,0.0293344563686
